time (sec),density (kg/m^3),y acceleration (m/s^2)
0,1.225,21.18780909
2.37E-06,1.225,21.18781032
4.74E-06,1.225,21.18781155
7.11E-06,1.225,21.18781279
9.48E-06,1.225,21.18781402
2.13E-05,1.225,21.18782017
3.32E-05,1.225,21.18782632
4.51E-05,1.225,21.18783247
5.69E-05,1.225,21.18783862
0.000116182,1.225,21.18786938
0.000175459,1.225,21.18790013
0.000234736,1.225,21.18793089
0.000294012,1.225,21.18796164
0.000590396,1.225,21.18811542
0.000886779,1.224999999,21.1882692
0.001183163,1.224999998,21.18842297
0.001479546,1.224999997,21.18857675
0.002961463,1.224999989,21.18934561
0.004443381,1.224999975,21.19011444
0.005925298,1.224999956,21.19088325
0.007407215,1.224999932,21.19165204
0.014816802,1.224999726,21.19549559
0.022226388,1.224999384,21.19933849
0.029635975,1.224998905,21.2031807
0.037045561,1.22499829,21.20702219
0.074093493,1.224993156,21.22621811
0.111141425,1.224984597,21.24539384
0.148189357,1.224972608,21.2645496
0.185237289,1.224957186,21.28368724
0.247357029,1.224923618,21.31574434
0.309476769,1.224880379,21.34777854
0.37159651,1.224827453,21.37980999
0.43371625,1.224764828,21.41185465
0.447656867,1.22474944,21.41904861
0.461597485,1.224733563,21.42624357
0.475538102,1.224717196,21.43343945
0.48947872,1.224700339,21.44063614
0.503419337,1.224682993,21.44783349
0.517359954,1.224665157,21.45503138
0.531300572,1.224646831,21.46222962
0.545241189,1.224628015,21.46942795
0.557684922,1.224610805,21.47585325
0.570128656,1.224593204,21.48227822
0.582572389,1.224575213,21.48870261
0.595016122,1.22455683,21.49512615
0.612020427,1.224531078,21.50390191
0.629024732,1.224504595,21.51267451
0.646029038,1.224477381,21.52144295
0.663033343,1.224449436,21.53020642
0.680037648,1.22442076,21.53896491
0.697041953,1.224391352,21.54771857
0.714046259,1.224361212,21.55646777
0.731050564,1.22433034,21.56521303
0.747914974,1.224298999,21.57388311
0.764779384,1.224266937,21.58255077
0.781643794,1.224234154,21.59121706
0.798508205,1.22420065,21.59988322
0.828879544,1.224138493,21.61549337
0.859250884,1.224073994,21.63110836
0.889622223,1.224007153,21.6467274
0.919993562,1.223937968,21.66234924
0.950829641,1.223865326,21.67821076
0.981665719,1.223790264,21.69407034
1.012501798,1.223712781,21.70992705
1.043337876,1.223632877,21.72578137
1.068211891,1.223566656,21.73856913
1.093085906,1.223498858,21.75135632
1.117959921,1.223429482,21.76414352
1.142833936,1.223358526,21.77693131
1.159939985,1.223308813,21.78572593
1.177046034,1.223258352,21.79452088
1.194152084,1.223207144,21.80331611
1.211258133,1.223155188,21.81211159
1.218086441,1.223134239,21.81562261
1.22491475,1.223113172,21.81913366
1.231743058,1.223091985,21.82264472
1.238571366,1.223070679,21.82615581
1.245399675,1.223049253,21.82966693
