T,a,P,rho
288.150000000000,340.294124355681,101325,1.22500000000000
288.143500000000,340.290286208393,101312.987439831,1.22488240095413
288.137000000000,340.286448017813,101300.976032871,1.22476481054521
288.130500000000,340.282609783941,101288.965779036,1.22464722877280
288.124000000000,340.278771506775,101276.956678241,1.22452965563645
288.117500000000,340.274933186313,101264.948730401,1.22441209113573
288.111000000000,340.271094822555,101252.941935432,1.22429453527019
288.104500000000,340.267256415498,101240.936293249,1.22417698803941
288.098000000000,340.263417965141,101228.931803767,1.22405944944293
288.091500000000,340.259579471482,101216.928466902,1.22394191948032
288.085000000000,340.255740934521,101204.926282568,1.22382439815114
288.078500000000,340.251902354256,101192.925250682,1.22370688545495
288.072000000000,340.248063730685,101180.925371159,1.22358938139132
288.065500000000,340.244225063806,101168.926643914,1.22347188595979
288.059000000000,340.240386353619,101156.929068862,1.22335439915994
288.052500000000,340.236547600122,101144.932645919,1.22323692099132
288.046000000000,340.232708803313,101132.937375000,1.22311945145349
288.039500000000,340.228869963191,101120.943256020,1.22300199054602
288.033000000000,340.225031079755,101108.950288895,1.22288453826846
288.026500000000,340.221192153002,101096.958473540,1.22276709462038
288.020000000000,340.217353182932,101084.967809871,1.22264965960133
288.013500000000,340.213514169543,101072.978297802,1.22253223321088
288.007000000000,340.209675112834,101060.989937250,1.22241481544859
288.000500000000,340.205836012803,101049.002728130,1.22229740631402
287.994000000000,340.201996869448,101037.016670357,1.22218000580672
287.987500000000,340.198157682769,101025.031763846,1.22206261392627
287.981000000000,340.194318452763,101013.048008513,1.22194523067222
287.974500000000,340.190479179430,101001.065404273,1.22182785604413
287.968000000000,340.186639862767,100989.083951042,1.22171049004155
287.961500000000,340.182800502774,100977.103648735,1.22159313266407
287.955000000000,340.178961099448,100965.124497268,1.22147578391122
287.948500000000,340.175121652789,100953.146496556,1.22135844378259
287.942000000000,340.171282162795,100941.169646514,1.22124111227771
287.935500000000,340.167442629464,100929.193947058,1.22112378939617
287.929000000000,340.163603052796,100917.219398103,1.22100647513751
287.922500000000,340.159763432788,100905.245999564,1.22088916950130
287.916000000000,340.155923769438,100893.273751358,1.22077187248709
287.909500000000,340.152084062747,100881.302653400,1.22065458409446
287.903000000000,340.148244312711,100869.332705604,1.22053730432296
287.896500000000,340.144404519331,100857.363907888,1.22042003317215
287.890000000000,340.140564682603,100845.396260165,1.22030277064159
287.883500000000,340.136724802527,100833.429762351,1.22018551673085
287.877000000000,340.132884879101,100821.464414362,1.22006827143948
287.870500000000,340.129044912324,100809.500216114,1.21995103476705
287.864000000000,340.125204902195,100797.537167522,1.21983380671311
287.857500000000,340.121364848711,100785.575268500,1.21971658727723
287.851000000000,340.117524751872,100773.614518966,1.21959937645898
287.844500000000,340.113684611675,100761.654918834,1.21948217425790
287.838000000000,340.109844428120,100749.696468020,1.21936498067356
287.831500000000,340.106004201205,100737.739166439,1.21924779570552
287.825000000000,340.102163930928,100725.783014007,1.21913061935334
287.818500000000,340.098323617289,100713.828010639,1.21901345161659
287.812000000000,340.094483260285,100701.874156251,1.21889629249483
287.805500000000,340.090642859915,100689.921450759,1.21877914198761
287.799000000000,340.086802416177,100677.969894077,1.21866200009450
287.792500000000,340.082961929071,100666.019486122,1.21854486681505
287.786000000000,340.079121398595,100654.070226809,1.21842774214884
287.779500000000,340.075280824746,100642.122116053,1.21831062609542
287.773000000000,340.071440207525,100630.175153770,1.21819351865434
287.766500000000,340.067599546928,100618.229339876,1.21807641982518
287.760000000000,340.063758842956,100606.284674286,1.21795932960750
287.753500000000,340.059918095606,100594.341156915,1.21784224800085
287.747000000000,340.056077304876,100582.398787680,1.21772517500480
287.740500000000,340.052236470766,100570.457566495,1.21760811061891
287.734000000000,340.048395593274,100558.517493277,1.21749105484273
287.727500000000,340.044554672399,100546.578567941,1.21737400767584
287.721000000000,340.040713708138,100534.640790402,1.21725696911778
287.714500000000,340.036872700491,100522.704160576,1.21713993916814
287.708000000000,340.033031649456,100510.768678379,1.21702291782645
287.701500000000,340.029190555032,100498.834343726,1.21690590509229
287.695000000000,340.025349417216,100486.901156533,1.21678890096522
287.688500000000,340.021508236008,100474.969116716,1.21667190544479
